0.41	0.16	0.14	0.06	0.23	
0.24	0.07	0.24	0.15	0.3	
0.23	0.04	0.24	0.29	0.2	
0.42	0.13	0.1	0.07	0.28	
0.38	0.18	0.16	0.11	0.17	
0.13	0.03	0.43	0.17	0.24	
0.3	0.1	0.1	0.07	0.43	
0.16	0.08	0.29	0.3	0.17	
0.47	0.11	0.11	0.13	0.18	
0.26	0.1	0.15	0.14	0.35	
0.31	0.18	0.19	0.09	0.23	
0.24	0.08	0.24	0.15	0.29	
0.34	0.06	0.28	0.12	0.2	
0.16	0.03	0.33	0.11	0.37	
0.56	0.21	0	0.04	0.19	
0.25	0.1	0.32	0.13	0.2	
0.36	0.15	0.17	0.03	0.29	
0.42	0.16	0.07	0.08	0.27	
0.24	0.02	0.38	0.13	0.23	
0.12	0.01	0.29	0.14	0.44	
0.12	0.08	0.21	0.27	0.32	
0.18	0.1	0.19	0.12	0.41	
0.3	0.06	0.25	0.2	0.19	
0.41	0.15	0.07	0.08	0.29	
0.42	0.13	0.14	0.09	0.22	
0.34	0.15	0.24	0.06	0.21	
0.28	0.07	0.26	0.18	0.21	
0.46	0.13	0.02	0.15	0.24	
0.25	0.04	0.25	0.27	0.19	
0.24	0.09	0.14	0.07	0.46	
0.57	0.19	0	0	0.24	
0	0	0.52	0.31	0.17	
0.47	0.19	0.09	0.04	0.21	
0.21	0.11	0.31	0.18	0.19	
0.42	0.13	0.16	0.08	0.21	
0.32	0.04	0.2	0.15	0.29	
0.25	0.09	0.21	0.08	0.37	
0.14	0.05	0.48	0.07	0.26	
0.3	0.02	0.29	0.2	0.19	
0.32	0.18	0.18	0.04	0.28	
0.41	0.11	0.04	0.15	0.29	
0.34	0.09	0.11	0.18	0.28	
0.21	0.01	0.25	0.16	0.37	
0.28	0.1	0.08	0.29	0.25	
0.38	0.08	0.08	0.07	0.39	
0.23	0.08	0.19	0.25	0.25	
0.18	0.09	0.25	0.17	0.31	
0.32	0.06	0.17	0.25	0.2	
0.37	0.18	0.14	0.1	0.21	
0.28	0.2	0.15	0.05	0.32	
0.32	0.16	0.18	0.08	0.26	
0.37	0.1	0.07	0.16	0.3	
0.42	0.08	0.11	0.11	0.28	
0.32	0.1	0.21	0.08	0.29	
0.26	0.07	0.15	0.14	0.38	
0.38	0.11	0.24	0.07	0.2	
0.24	0.06	0.29	0.13	0.28	
0.12	0.19	0.32	0.11	0.26	
0.25	0.08	0.28	0.12	0.27	
0.32	0.05	0.25	0.18	0.2	
