0.94	0	0	0	0.06	0	
1.0	0	0	0	0	0	
0.79	0.03	0.1	0.06	0.02	0	
0.98	0	0.02	0	0	0	
0.55	0.03	0.14	0.09	0.15	0.04	
0.74	0.12	0.04	0.05	0	0.05	
0	0.21	0.35	0.23	0.14	0.07	
0	0.15	0.29	0.29	0.08	0.19	
0	0.11	0.23	0.3	0.26	0.1	
0	0.06	0.17	0.41	0.15	0.21	
0.96	0	0.04	0	0	0	
0	0.16	0.37	0.08	0.16	0.23	
1.0	0	0	0	0	0	
0.04	0.13	0.25	0.21	0.24	0.13	
1.0	0	0	0	0	0	
0.75	0	0	0.03	0.14	0.08	
1.0	0	0	0	0	0	
0.19	0	0.11	0.29	0.13	0.28	
0.97	0.03	0	0	0	0	
0.1	0	0.09	0	0.05	0.76	
0.37	0.07	0.11	0	0	0.45	
0.4	0.08	0.32	0	0	0.2	
0.33	0.09	0.23	0.06	0	0.29	
0.44	0.02	0.41	0	0	0.13	
0.29	0	0.59	0.04	0	0.08	
0.69	0.02	0.18	0.03	0	0.08	
0.11	0.06	0.46	0.21	0.03	0.13	
0.44	0.06	0.15	0.19	0.08	0.08	
0.38	0.08	0.32	0.17	0.05	0	
0.65	0.02	0.15	0.02	0.16	0	
0.39	0.03	0	0	0	0.58	
0.38	0	0	0.51	0.11	0	
0.94	0	0.06	0	0	0	
0.78	0	0	0.03	0.09	0.1	
0.54	0.04	0	0	0	0.42	
0.68	0.11	0	0.13	0.08	0	
0.7	0.21	0.09	0	0	0	
0.24	0.04	0.15	0.23	0.3	0.04	
0.45	0.16	0.05	0.17	0	0.17	
0.34	0.14	0.15	0.1	0.27	0	
0.84	0.14	0	0	0	0.02	
0.33	0.48	0.15	0.04	0	0	
0.58	0.33	0	0.09	0	0	
0.08	0.54	0.23	0.02	0	0.13	
0.83	0	0	0.1	0.07	0	
0.49	0	0	0	0	0.51	
0.51	0	0	0.25	0.18	0.06	
0.52	0	0.06	0.17	0.25	0	
0.72	0	0	0.11	0.17	0	
0.47	0	0.04	0.05	0.38	0.06	
0.59	0	0.05	0.15	0.21	0	
0.2	0.11	0.15	0.17	0.37	0	
0.38	0	0.19	0.13	0.3	0	
0.28	0.05	0.1	0.06	0.51	0	
0.09	0	0.29	0.18	0.31	0.13	
0.65	0	0	0.03	0.12	0.2	
0.36	0.06	0.3	0.12	0.16	0	
0.37	0.03	0	0.4	0.2	0	
0.16	0	0.82	0	0.02	0	
1.0	0	0	0	0	0	
