1.0	0	0	0	0	0	
0.97	0	0	0.03	0	0	
0.82	0.02	0	0.11	0	0.05	
0.86	0.07	0	0.01	0.01	0.05	
0.6	0.07	0	0.22	0.02	0.09	
0.75	0	0.09	0.09	0	0.07	
0	0.1	0.17	0.39	0.09	0.25	
0	0.17	0.06	0.28	0.24	0.25	
0	0	0.18	0.27	0.23	0.32	
0	0.04	0.18	0.23	0.25	0.3	
0	0.24	0.05	0.3	0.2	0.21	
0.31	0.08	0.04	0.24	0.27	0.06	
0.16	0.1	0.18	0.19	0.1	0.27	
0.74	0.11	0.05	0.1	0	0	
1.0	0	0	0	0	0	
1.0	0	0	0	0	0	
0.79	0	0	0.05	0.08	0.08	
0.13	0	0.05	0.16	0.19	0.47	
0.41	0	0	0.03	0.32	0.24	
0	0.09	0	0	0	0.91	
0.1	0.05	0.07	0	0	0.78	
0.58	0.14	0.08	0	0	0.2	
0.63	0.09	0.14	0	0.05	0.09	
0.46	0.13	0.28	0.09	0	0.04	
0.41	0.1	0.26	0.09	0	0.14	
0.56	0.08	0.16	0	0	0.2	
0.62	0.02	0.04	0.05	0.17	0.1	
0.46	0.06	0.21	0.04	0.05	0.18	
0.39	0.03	0.04	0.05	0.28	0.21	
0.37	0	0.09	0.04	0.24	0.26	
0.16	0.01	0	0.07	0.32	0.44	
0.32	0.03	0	0	0.06	0.59	
0.51	0	0	0	0.31	0.18	
0.67	0.1	0	0	0	0.23	
0.46	0	0	0	0	0.54	
0.58	0.07	0.07	0	0	0.28	
0.48	0.11	0.12	0	0.04	0.25	
0.45	0.17	0.01	0	0.26	0.11	
0.51	0.15	0.02	0	0.2	0.12	
0.41	0.11	0.12	0	0	0.36	
0.39	0.2	0.09	0	0	0.32	
0.92	0	0.06	0	0.02	0	
0.47	0.26	0.09	0	0.05	0.13	
0.59	0	0	0.18	0.05	0.18	
0.87	0	0	0.13	0	0	
0.93	0	0	0.07	0	0	
0.51	0	0.03	0.27	0.19	0	
0.43	0.02	0.01	0.36	0.13	0.05	
0.56	0.16	0	0.22	0.06	0	
0.24	0.07	0.17	0.28	0.2	0.04	
0.32	0	0.03	0.32	0.29	0.04	
0.32	0.09	0.27	0.09	0.15	0.08	
0.28	0.09	0	0.23	0.36	0.04	
0.59	0.22	0.19	0	0	0	
0.53	0.17	0.18	0.01	0.06	0.05	
0.61	0.07	0.09	0.17	0.06	0	
0.82	0.07	0	0	0.07	0.04	
0.4	0.04	0.03	0.26	0.27	0	
0.55	0	0	0.28	0.06	0.11	
1.0	0	0	0	0	0	
