0.44	0.23	0.21	0	0	0	0.12	
0.49	0.17	0.12	0.04	0.09	0.03	0.06	
0.56	0.23	0	0	0.06	0	0.15	
0.21	0.22	0.2	0.09	0.08	0.05	0.15	
0.5	0.09	0.15	0.01	0	0.09	0.16	
0.31	0.11	0.23	0	0.09	0.13	0.13	
0.35	0.07	0.1	0.03	0.12	0.01	0.32	
0.14	0.23	0.29	0	0.18	0	0.16	
0	0.36	0.01	0.1	0.32	0.14	0.07	
0	0.18	0.21	0.11	0.19	0.1	0.21	
0.24	0.08	0.17	0.09	0.14	0.04	0.24	
0.24	0.25	0.09	0.17	0.01	0.11	0.13	
0.01	0.21	0.23	0.06	0.28	0	0.21	
0.2	0	0.05	0.14	0.2	0	0.41	
0.22	0.04	0.1	0	0.18	0.14	0.32	
0.13	0.04	0.06	0.18	0.22	0	0.37	
0.33	0.24	0.1	0.03	0.17	0	0.13	
0.35	0.29	0.03	0.04	0.11	0	0.18	
0.41	0.09	0.08	0	0.09	0.04	0.29	
0.07	0.32	0	0	0.29	0.06	0.26	
0.1	0.13	0.04	0.08	0.2	0.17	0.28	
0.06	0.46	0	0.06	0.13	0.06	0.23	
0.18	0.2	0	0.01	0.21	0.16	0.24	
0.07	0.49	0.02	0.06	0.11	0.09	0.16	
0.19	0.3	0	0.02	0.13	0.08	0.28	
0.08	0.13	0.08	0.08	0.13	0.11	0.39	
0.01	0.25	0.08	0.14	0.15	0.14	0.23	
0.42	0.2	0	0.07	0	0.06	0.25	
0.46	0.14	0	0.04	0	0.05	0.31	
0.11	0.18	0.02	0.07	0	0	0.62	
0.07	0.1	0	0.08	0.05	0.08	0.62	
0.07	0	0.03	0.09	0	0.11	0.7	
0.44	0	0.07	0.04	0.03	0.14	0.28	
0.35	0.1	0.03	0.19	0.09	0.04	0.2	
0.35	0.16	0	0.09	0.16	0.02	0.22	
0.39	0.06	0.08	0.11	0	0.1	0.26	
0.45	0.05	0.03	0.02	0.03	0.31	0.11	
0.29	0.09	0.04	0.02	0.1	0.06	0.4	
0.41	0.05	0.05	0.05	0	0.04	0.4	
0.19	0.18	0	0.14	0.11	0.35	0.03	
0.39	0.04	0	0.04	0.12	0.2	0.21	
0.39	0.19	0	0	0.04	0.11	0.27	
0.64	0.17	0	0	0.05	0.09	0.05	
0.23	0.2	0	0.05	0.1	0.2	0.22	
0.73	0	0	0.04	0.03	0.08	0.12	
0.18	0.35	0	0.03	0.13	0.23	0.08	
0.62	0.06	0	0.04	0.05	0.14	0.09	
0.37	0.27	0	0.03	0.06	0.23	0.04	
0.48	0.15	0	0	0	0.2	0.17	
0.29	0.46	0	0	0.08	0.17	0	
0.36	0.33	0	0	0.14	0.14	0.03	
0.42	0.43	0	0	0.06	0.09	0	
0.32	0.3	0	0	0.13	0.25	0	
0.3	0.38	0	0	0.05	0.21	0.06	
0.25	0.38	0	0.06	0.11	0.11	0.09	
0.26	0.35	0	0.05	0.02	0.32	0	
0.61	0.32	0	0	0.07	0	0	
0.62	0.17	0	0.02	0.19	0	0	
0.3	0.42	0	0.05	0.11	0.12	0	
0.35	0.31	0	0.04	0.01	0	0.29	
