0.5	0	0.24	0.26	0	0	0	
0	0	0	0	0.4	0.48	0.12	
0.42	0	0	0	0.21	0.21	0.16	
0.36	0.5	0	0	0	0	0.14	
0	0.42	0	0	0.1	0.28	0.2	
0.38	0	0	0	0.21	0.27	0.14	
0.5	0.34	0	0	0	0	0.16	
0.5	0.37	0	0	0	0	0.13	
0.34	0.5	0	0	0	0	0.16	
0	0.37	0.23	0.27	0	0	0.13	
0.35	0	0.27	0.23	0	0	0.15	
0.42	0	0	0	0.25	0.17	0.16	
0	0	0	0	0.44	0.5	0.06	
0	0	0.26	0.24	0.13	0.27	0.1	
0	0.5	0	0	0.14	0.29	0.07	
0.36	0.5	0	0	0	0	0.14	
0	0.9	0	0	0	0	0.1	
0.73	0	0	0	0	0	0.27	
0.76	0	0	0	0	0	0.24	
0.38	0	0	0	0.16	0.3	0.16	
0	0.84	0	0	0	0	0.16	
0.86	0	0	0	0	0	0.14	
0.41	0	0	0	0.22	0.22	0.15	
0.5	0.4	0	0	0	0	0.1	
0.36	0	0	0	0.2	0.27	0.17	
0	0	0	0	0.37	0.49	0.14	
0	0	0.38	0.47	0	0	0.15	
0.37	0	0	0	0.17	0.25	0.21	
0	0	0.47	0.38	0	0	0.15	
0.5	0.36	0	0	0	0	0.14	
1.0	0	0	0	0	0	0	
0	0	0.15	0.15	0.12	0.22	0.36	
1.0	0	0	0	0	0	0	
0	0.91	0	0	0	0	0.09	
0	0.39	0	0	0.15	0.24	0.22	
0	0	0	0	0.27	0.44	0.29	
1.0	0	0	0	0	0	0	
0	0	0	0	0.3	0.41	0.29	
0	0.36	0	0	0.13	0.23	0.28	
0	0	0	0	0.27	0.42	0.31	
0.5	0	0.17	0.21	0	0	0.12	
0	0.34	0	0	0.15	0.15	0.36	
0	0.5	0	0	0.14	0.18	0.18	
0	0	0	0	0.27	0.42	0.31	
0.5	0.5	0	0	0	0	0	
0.5	0	0.24	0.26	0	0	0	
1.0	0	0	0	0	0	0	
0	0.9	0	0	0	0	0.1	
0.5	0	0	0	0.17	0.17	0.16	
0	0.5	0.15	0.2	0	0	0.15	
0.33	0.5	0	0	0	0	0.17	
0.4	0.37	0	0	0	0	0.23	
0	0	0.44	0.33	0	0	0.23	
0.39	0	0	0	0.16	0.23	0.22	
0.4	0	0	0	0.18	0.15	0.27	
0.39	0.38	0	0	0	0	0.23	
0	0	0	0	0.33	0.41	0.26	
0	0	0	0	0.36	0.33	0.31	
0.35	0.35	0	0	0	0	0.3	
0.74	0	0	0	0	0	0.26	
