0.52	0.06	0.11	0.04	0.11	0.16	
0.61	0.05	0.11	0	0	0.23	
0.66	0.1	0.1	0	0	0.14	
0.49	0.05	0.3	0	0	0.16	
0.57	0	0	0.2	0.18	0.05	
0.09	0.06	0.14	0.28	0.29	0.14	
0.94	0	0	0	0	0.06	
0.18	0.13	0.24	0.14	0.2	0.11	
0.57	0.04	0.09	0.11	0.09	0.1	
0.37	0.1	0.2	0.09	0.05	0.19	
0.6	0	0	0.2	0.17	0.03	
0.2	0.11	0.23	0.17	0.18	0.11	
0.58	0.1	0.1	0.11	0.06	0.05	
0.56	0.05	0.15	0.09	0.09	0.06	
0.55	0.15	0.23	0	0	0.07	
0.57	0.11	0.18	0	0	0.14	
0.6	0.06	0.14	0.08	0.12	0	
0.4	0.04	0.16	0.14	0.22	0.04	
0.35	0.06	0.09	0.21	0.12	0.17	
0.59	0	0	0.14	0.12	0.15	
0.71	0.09	0.11	0	0	0.09	
0.55	0.04	0.16	0.07	0.11	0.07	
0.31	0.11	0.28	0.03	0.11	0.16	
0.55	0.04	0.16	0.05	0.12	0.08	
0.44	0	0	0.2	0.15	0.21	
0.34	0.16	0.24	0.13	0.06	0.07	
0.29	0.11	0.09	0.09	0.24	0.18	
0.7	0	0	0.05	0.08	0.17	
0.74	0	0	0.1	0.1	0.06	
0.37	0.18	0.39	0	0	0.06	
0.34	0.03	0.17	0.2	0.15	0.11	
0.59	0	0	0.11	0.22	0.08	
0.2	0.06	0.14	0.37	0.18	0.05	
0.57	0	0	0.14	0.16	0.13	
0.74	0.09	0.11	0	0	0.06	
0.54	0.09	0.11	0.12	0.06	0.08	
0.57	0.15	0.25	0	0	0.03	
0.54	0	0	0.18	0.11	0.17	
0.37	0.13	0.27	0.07	0.07	0.09	
0.54	0.08	0.12	0.09	0.08	0.09	
0.6	0.11	0.09	0.13	0.07	0	
0.4	0.04	0.16	0.16	0.22	0.02	
0.37	0.11	0.29	0.04	0.08	0.11	
0.4	0.04	0.16	0.15	0.17	0.08	
0.77	0.07	0.13	0	0	0.03	
0.95	0	0	0	0	0.05	
0.34	0.12	0.24	0.08	0.05	0.17	
0.2	0.21	0.33	0.12	0.08	0.06	
0.78	0	0	0.07	0.09	0.06	
0.19	0.08	0.19	0.17	0.17	0.2	
0.15	0.16	0.44	0.08	0.04	0.13	
0.36	0.04	0.14	0.19	0.21	0.06	
0.56	0	0	0.17	0.21	0.06	
0.48	0.07	0.13	0.11	0.07	0.14	
0.37	0	0	0.24	0.28	0.11	
0.73	0.12	0.08	0	0	0.07	
0.56	0.07	0.25	0	0	0.12	
0.57	0.04	0.09	0.1	0.09	0.11	
0.66	0	0	0.08	0.08	0.18	
0.56	0.09	0.11	0.11	0.09	0.04	
