0.62	0	0	0.06	0.05	0.27	
0	0.36	0.36	0	0	0.28	
0.39	0.22	0.2	0	0	0.19	
0.82	0	0	0	0	0.18	
0	0.27	0.34	0.11	0.03	0.25	
0.58	0.01	0.1	0	0	0.31	
0.13	0.19	0.12	0.05	0.05	0.46	
0.32	0.14	0.11	0.09	0.02	0.32	
0	0.24	0.13	0.25	0.06	0.32	
0.14	0.2	0.24	0	0	0.42	
0	0.17	0.13	0.27	0.18	0.25	
0.47	0.07	0.12	0	0	0.34	
0.47	0.13	0.15	0	0	0.25	
0.31	0	0	0.31	0.14	0.24	
0.16	0	0	0.35	0.21	0.28	
0.3	0.11	0.17	0.08	0.07	0.27	
0.44	0	0	0.17	0.03	0.36	
0.22	0.11	0.07	0.16	0.06	0.38	
0.52	0.06	0.06	0	0	0.36	
0.11	0.19	0.24	0.1	0.1	0.26	
0.13	0.13	0.14	0.22	0.18	0.2	
0.29	0.3	0.21	0	0	0.2	
0.08	0.28	0.21	0.09	0.08	0.26	
0.63	0.09	0.09	0	0	0.19	
0.62	0	0	0.14	0.06	0.18	
0.31	0.2	0.16	0.12	0.03	0.18	
0.09	0.11	0.19	0.3	0.1	0.21	
0.33	0.14	0.16	0	0	0.37	
0.15	0.2	0.21	0.1	0.07	0.27	
0.37	0.08	0.09	0.14	0.06	0.26	
0.14	0.24	0.26	0.08	0.04	0.24	
0.09	0.38	0.31	0	0	0.22	
0.62	0	0	0	0	0.38	
0.06	0.1	0.06	0.4	0.2	0.18	
0.56	0.03	0.1	0	0	0.31	
0.39	0	0	0.09	0.06	0.46	
0.25	0.09	0.16	0.14	0.02	0.34	
0.45	0.06	0.12	0	0	0.37	
0.44	0.07	0.1	0.1	0.05	0.24	
0	0.31	0.37	0.08	0.05	0.19	
0	0.11	0.06	0.37	0.11	0.35	
0.54	0.18	0.13	0	0	0.15	
0.57	0.11	0.03	0.06	0.07	0.16	
0	0.24	0.22	0.17	0.08	0.29	
0.67	0.08	0.08	0	0	0.17	
0.29	0.11	0.11	0.11	0.04	0.34	
0.15	0.2	0.11	0.18	0.03	0.33	
0.31	0.23	0.18	0	0	0.28	
0.31	0.16	0.14	0.06	0.07	0.26	
0.16	0.23	0.22	0.1	0.04	0.25	
0.49	0.09	0.04	0.08	0.02	0.28	
0.31	0.03	0.08	0.17	0.07	0.34	
0.52	0.05	0.02	0.07	0.07	0.27	
0	0.16	0.33	0.1	0.09	0.32	
0.31	0.23	0.2	0	0	0.26	
0.38	0	0	0.17	0.13	0.32	
0.17	0.2	0.15	0.13	0.05	0.3	
0.34	0.02	0.06	0.11	0.05	0.42	
0.48	0.09	0.04	0.05	0.03	0.31	
0	0.2	0.32	0.07	0.05	0.36	
