0.26	0	0.16	0.2	0.38	
0.29	0.15	0.34	0.16	0.06	
0	0	0.42	0.36	0.22	
0.6	0.1	0	0	0.3	
0	0	0.37	0.46	0.17	
0.57	0.09	0	0	0.34	
0.58	0.09	0	0	0.33	
0	0	0.35	0.43	0.22	
0.28	0.08	0.11	0.16	0.37	
0.42	0.49	0	0	0.09	
0.32	0.06	0.31	0	0.31	
0	0	0.59	0.16	0.25	
0.56	0.26	0	0	0.18	
0.27	0.1	0	0.07	0.56	
0.32	0.08	0.35	0	0.25	
0.31	0.12	0.18	0.24	0.15	
0.31	0.11	0.28	0.14	0.16	
0.32	0.07	0.28	0.11	0.22	
0.36	0.08	0.1	0.21	0.25	
0.23	0.12	0.35	0.05	0.25	
0.32	0	0.17	0.24	0.27	
0.26	0.15	0.26	0.13	0.2	
0.38	0.04	0.3	0.09	0.19	
0.29	0	0.2	0.19	0.32	
0	0	0.44	0.14	0.42	
0.22	0	0.21	0	0.57	
0.53	0.07	0	0	0.4	
0.57	0.23	0	0	0.2	
0.43	0.51	0	0	0.06	
0	0	0.23	0.46	0.31	
0.59	0.27	0	0	0.14	
0	0	0.4	0.29	0.31	
0.38	0.02	0.37	0.06	0.17	
0.26	0.15	0.24	0.11	0.24	
0	0	0.38	0.38	0.24	
0.63	0.18	0	0	0.19	
0.52	0.18	0	0	0.3	
0.23	0.14	0.09	0.16	0.38	
0	0	0.37	0.28	0.35	
0.39	0.06	0.11	0.22	0.22	
0.34	0	0.34	0	0.32	
0	0	0.4	0.23	0.37	
0.32	0	0.29	0	0.39	
0.36	0.06	0.01	0.27	0.3	
0.49	0.14	0	0	0.37	
0.22	0	0.29	0.11	0.38	
0.3	0.12	0.27	0.13	0.18	
0.31	0.08	0.18	0.25	0.18	
0.6	0.15	0	0	0.25	
0.06	0.45	0	0	0.49	
0	0	0.59	0.22	0.19	
0.58	0.22	0	0	0.2	
0.34	0.06	0.12	0.22	0.26	
0.28	0.07	0.28	0.09	0.28	
0.28	0.12	0.26	0.15	0.19	
0.66	0.2	0	0	0.14	
0.29	0.13	0.16	0.21	0.21	
0.36	0.11	0.34	0.1	0.09	
0.21	0.09	0.29	0	0.41	
0	0	0.22	0.52	0.26	
