0.14	0.29	0.01	0.01	0	0.04	0.51	
0.17	0.16	0.02	0	0.13	0.1	0.42	
0.13	0.47	0.06	0	0.02	0	0.32	
0.43	0.28	0	0	0.07	0	0.22	
0.16	0.23	0	0	0.01	0.04	0.56	
0.38	0.01	0.07	0	0.02	0	0.52	
0.36	0.15	0.06	0	0.07	0.05	0.31	
0.15	0.19	0.05	0	0.17	0	0.44	
0.08	0.12	0.09	0	0.01	0.1	0.6	
0	0.13	0.14	0	0.2	0.05	0.48	
0.09	0.39	0.16	0	0.06	0	0.3	
0.03	0.26	0	0	0.1	0.04	0.57	
0.05	0.17	0	0.04	0	0.13	0.61	
0.02	0.01	0.14	0.05	0	0.09	0.69	
0.15	0	0.11	0	0.06	0.1	0.58	
0.05	0.08	0	0	0.11	0	0.76	
0.17	0.18	0.13	0	0.12	0.11	0.29	
0.09	0.05	0.25	0.12	0.14	0.12	0.23	
0.18	0.15	0.04	0	0	0.04	0.59	
0.03	0.23	0	0.05	0.13	0	0.56	
0.21	0.06	0.03	0.07	0.07	0.05	0.51	
0.39	0.11	0.04	0	0.02	0	0.44	
0.19	0.1	0	0	0.13	0.09	0.49	
0.13	0	0.02	0	0	0.29	0.56	
0.16	0.07	0	0.01	0.14	0	0.62	
0.18	0.12	0	0	0.03	0	0.67	
0.25	0.06	0	0.11	0.08	0.01	0.49	
0.12	0.1	0.09	0.05	0	0.14	0.5	
0.34	0.13	0.03	0.04	0.13	0	0.33	
0.01	0.02	0.08	0.07	0.05	0	0.77	
0.16	0.27	0.06	0.06	0.15	0.07	0.23	
0.03	0.15	0.02	0.09	0.07	0.07	0.57	
0.09	0.09	0.04	0.09	0.07	0	0.62	
0.17	0.01	0.04	0.24	0.01	0.02	0.51	
0.28	0.1	0.05	0.02	0.16	0.02	0.37	
0.04	0.16	0.07	0.14	0	0.11	0.48	
0.2	0	0.09	0.08	0.08	0.1	0.45	
0.06	0.15	0.06	0	0.04	0.13	0.56	
0.3	0.11	0.03	0	0.01	0	0.55	
0.13	0.09	0.05	0.13	0.1	0.08	0.42	
0.2	0.16	0.07	0.13	0.04	0.17	0.23	
0.28	0.1	0.08	0	0.15	0.08	0.31	
0.5	0.14	0.03	0.01	0	0	0.32	
0.26	0.06	0	0.17	0	0.28	0.23	
0.5	0.01	0.05	0.09	0.04	0.11	0.2	
0.33	0.1	0	0.05	0.04	0.13	0.35	
0.38	0.25	0.01	0	0	0.01	0.35	
0.56	0.04	0.09	0.03	0	0.05	0.23	
0.11	0.11	0.05	0.07	0.08	0.1	0.48	
0.15	0.17	0.07	0.11	0.04	0.04	0.42	
0.27	0.22	0.09	0.05	0.05	0.08	0.24	
0.31	0.08	0.12	0.11	0.04	0.11	0.23	
0.3	0.12	0.1	0.13	0.04	0.11	0.2	
0.13	0.26	0.07	0.06	0.14	0.17	0.17	
0.22	0.18	0	0.23	0.16	0.09	0.12	
0.36	0.14	0	0.07	0.08	0.14	0.21	
0.33	0.11	0	0.11	0.13	0	0.32	
0.28	0.08	0	0	0.15	0.06	0.43	
0.18	0.15	0.02	0.07	0	0.08	0.5	
0.05	0.07	0.02	0.04	0.06	0	0.76	
