0.51	0.17	0.1	0.03	0.19	
0	0	0.52	0.19	0.29	
0.42	0.1	0.15	0.05	0.28	
0.06	0.07	0.44	0.22	0.21	
0.2	0.13	0.25	0.13	0.29	
0.5	0.18	0.04	0.04	0.24	
0.41	0.11	0.16	0.07	0.25	
0.51	0.17	0.1	0.01	0.21	
0.18	0.05	0.21	0.16	0.4	
0.21	0.02	0.27	0.09	0.41	
0.41	0.12	0.09	0.09	0.29	
0.33	0.07	0.25	0.06	0.29	
0.33	0.11	0.15	0.19	0.22	
0.24	0.06	0.19	0.25	0.26	
0.25	0.11	0.08	0.42	0.14	
0.13	0.05	0.3	0.2	0.32	
0.21	0.05	0.31	0.15	0.28	
0.47	0.23	0.04	0.04	0.22	
0.22	0.07	0.4	0.18	0.13	
0.41	0.13	0.03	0.04	0.39	
0.17	0.02	0.21	0.16	0.44	
0.47	0.22	0	0	0.31	
0.26	0.1	0.19	0.18	0.27	
0.38	0.14	0.1	0.12	0.26	
0.19	0.02	0.44	0.2	0.15	
0.41	0.07	0.14	0.08	0.3	
0.1	0.04	0.35	0.35	0.16	
0.26	0.09	0.26	0.21	0.18	
0.34	0.11	0.22	0.01	0.32	
0.42	0.19	0.01	0.08	0.3	
0.11	0	0.31	0.21	0.37	
0.5	0.06	0.09	0.07	0.28	
0.54	0.1	0.01	0.03	0.32	
0.2	0.04	0.17	0.26	0.33	
0.45	0.12	0.13	0.1	0.2	
0.31	0.07	0.19	0.04	0.39	
0.4	0.09	0.21	0.07	0.23	
0.3	0.16	0.07	0.14	0.33	
0.02	0.13	0.36	0.22	0.27	
0.17	0.23	0.28	0.12	0.2	
0.3	0.15	0.14	0.16	0.25	
0.26	0.04	0.27	0.13	0.3	
0.28	0.06	0.22	0.08	0.36	
0.14	0.1	0.29	0.29	0.18	
0.35	0.06	0.26	0.08	0.25	
0.2	0.08	0.29	0.21	0.22	
0.39	0.11	0.06	0.04	0.4	
0.29	0.16	0.21	0.17	0.17	
0.43	0.12	0.1	0.06	0.29	
0.36	0.12	0.14	0.12	0.26	
0.32	0.13	0.18	0.07	0.3	
0.25	0.08	0.22	0.15	0.3	
0.17	0.06	0.26	0.2	0.31	
0.17	0.1	0.41	0.23	0.09	
0.37	0.16	0.15	0.14	0.18	
0.31	0.06	0.16	0.12	0.35	
0.39	0.08	0.15	0.14	0.24	
0.42	0.14	0.24	0.05	0.15	
0.33	0.12	0.2	0.12	0.23	
0.27	0.07	0.23	0.18	0.25	
