0.17	0	0.27	0.19	0.37	
0.2	0.06	0.4	0.14	0.2	
0.18	0.05	0.36	0.31	0.1	
0.4	0.03	0.06	0.13	0.38	
0.45	0.09	0.26	0.07	0.13	
0.63	0.21	0	0	0.16	
0.22	0.01	0.33	0.21	0.23	
0.13	0.12	0.32	0.34	0.09	
0.5	0.17	0	0	0.33	
0.12	0.26	0	0	0.62	
0.4	0.06	0.18	0.04	0.32	
0.48	0.16	0.16	0.14	0.06	
0.19	0.06	0.36	0.17	0.22	
0	0	0.17	0.18	0.65	
0.4	0.14	0.13	0.08	0.25	
0.25	0.08	0.22	0.23	0.22	
0.61	0.26	0	0	0.13	
0	0	0.43	0.38	0.19	
0.23	0.06	0.35	0.18	0.18	
0.44	0.18	0.16	0.03	0.19	
0	0	0.32	0.39	0.29	
0.58	0.21	0	0	0.21	
0.39	0.09	0.16	0.13	0.23	
0.12	0.09	0.24	0.18	0.37	
0	0	0.39	0.1	0.51	
0.23	0.1	0.27	0.2	0.2	
0.67	0.18	0	0	0.15	
0.53	0.29	0	0	0.18	
0.48	0.04	0.12	0	0.36	
0	0	0.34	0.18	0.48	
0.46	0.1	0.26	0.04	0.14	
0	0	0.45	0.32	0.23	
0.18	0.09	0.27	0.2	0.26	
0	0	0.44	0.29	0.27	
0.39	0.09	0.19	0.06	0.27	
0.56	0.25	0	0	0.19	
0.36	0.19	0.18	0.09	0.18	
0.21	0.06	0.24	0.26	0.23	
0.2	0.04	0.32	0.14	0.3	
0.64	0.18	0	0	0.18	
0.15	0	0.3	0.3	0.25	
0.4	0.13	0.03	0.15	0.29	
0.35	0.09	0.29	0	0.27	
0.46	0.1	0.03	0.15	0.26	
0.62	0.13	0	0	0.25	
0.34	0.09	0.08	0.06	0.43	
0.03	0	0.32	0.17	0.48	
0.17	0.1	0.26	0.26	0.21	
0.4	0.09	0.17	0.08	0.26	
0.08	0.27	0.11	0.13	0.41	
0.13	0.07	0.33	0.17	0.3	
0.49	0.24	0	0	0.27	
0	0	0.39	0.32	0.29	
0.39	0.13	0.07	0.2	0.21	
0.62	0.16	0	0	0.22	
0.31	0.21	0.15	0.11	0.22	
0.07	0.06	0.25	0.23	0.39	
0.4	0.09	0.17	0.09	0.25	
0	0	0.56	0.14	0.3	
0.59	0.04	0.14	0.04	0.19	
